X,Y,ACCESSION,PC,TEXT,TEXT_FR,ID,IMAGE,IMAGE_FR,CREDIT,LAT,LONG,ADDRESS,ADDRESS_FR,ARTWORK,ARTWORK_FR,ARTISTS,LOCATION,LOCATION_FR,CITY,PROVINCE,DATE_MOD,MATERIAL,MATERIAL_FR,YEAR,ObjectId
-8425868.10422445,5688179.11362301,2001-0365,K1P 1J1,"For this particular piece, fragments of polished granite with cut and raw edges are being supported and united by a structure of steel. Located in Council Chambers as a backdrop to all City decisions, the work expresses the need for collaboration. A figure cast in glass appears to be pushing part of the piece into place while another uses the support to climb on. The stone is a symbol of community and is divided into eleven fragments, representing the eleven amalgamated municipalities of Ottawa that vary in size, shape, and character. Though the stones do not fit together as a perfect whole, Structure acknowledges and applauds the effort given to keep the piece unified. Local glass artist, Stephen Brathwaite, has an extensive commission practice and is included in public, private, and corporate collections. He has completed artwork for the Canadian Consulate in Chicago, the Canadian Pavilion in Spain and Korea, and Strathcona Park, Ottawa.","L’œuvre, composée de fragments de granit poli aux rebords bruts soutenus et unis par une structure d’acier est située dans la salle du Conseil. Toile de fond des décisions prises par la Ville, elle exprime la nécessité de la collaboration. Un personnage moulé en verre semble pousser un fragment de l’œuvre pour qu’il prenne sa place, tandis qu’un autre se sert du support pour y monter. La pierre symbolise la collectivité; elle est divisée en onze fragments représentant les onze municipalités fusionnées d’Ottawa dans leur diversité de taille, de forme et de caractère. Même si les pierres ne forment pas un tout parfait, Structure rend compte des efforts déployés pour unifier l’ensemble et les applaudit. Artiste verrier local, Stephen Brathwaite a réalisé de nombreuses commandes, et ses œuvres figurent dans des collections publiques, privées et de sociétés. Il a créé des œuvres pour le Consulat général du Canada à Chicago, le Pavillon du Canada en Espagne et en Corée, et le parc Strathcona, à Ottawa.",PA50,https://ottawa.ca/sites/default/files/images/featured/structure.jpg,https://ottawa.ca/sites/default/files/images/featured/structure.jpg,,45.421848,-75.690861,110 Laurier Ave W,"110, av Laurier O",Structure,Structure,"Brathwaite, Stephen","110 Laurier, City Hall commissions","110 Laurier, City Hall commissions",Ottawa,ON,20210118,"glass, granite and steel","verre, granite et acier",1989,63
-8423221.14937237,5684947.87290115,2001-0398,,"Drawn from traditional Plains Cree symbols used in the artist's native culture, humans, horses, handprints, dots and crosses suggest movement and freedom in modern urban transportation.","Les images répétées d’humains, de chevaux, d’empreintes de main, de points et de croix, issues des symboles traditionnels utilisés dans la culture des Cris des plaines, à laquelle l’artiste appartient, évoquent le mouvement et la liberté dans les transports urbains modernes.",PA51,https://ottawa.ca/sites/default/files/images/featured/20130212_01_-_copy.jpg,https://ottawa.ca/sites/default/files/images/featured/20130212_01_-_copy.jpg,,45.401471,-75.667083,OC Transitway Riverside Station,Station Riverside,Untitled,Untitled,"McMaster, Gerald",OC Transitway Riverside Station,OC Transitway Riverside Station,Ottawa,ON,20210118,epoxy coating ,revêtement époxy,1991,64
-8423183.74602346,5684902.52933602,2001-0399,,"River’s Invitation captures the distinctive movements of streaming water. The various shapes and lines reinforce the flow of our waterways and the primary forces of nature. The mural reflects the cultural and physical influence of Ottawa’s rivers on our city. The lines are bold yet simple, effectively catching the attention of commuters. As commuters pass through, it is almost as though they are walking on water: moving up or downstream to catch a bus.","L’invitation de la rivière reproduit le mouvement distinctif de l’eau qui s’écoule. Les formes et lignes variées rappellent le courant et les forces primaires de la nature, l’œuvre dans son ensemble reflétant l’influence culturelle et physique qu’ont les cours d’eau d’Ottawa sur notre ville. Audacieuses mais simples, les lignes attirent le regard des passants. En traversant, on a presque l’impression de marcher sur l’eau, de remonter ou de descendre le courant pour attraper l’autobus.",PA300,https://ottawa.ca/sites/default/files/images/featured/2001-0399a.jpg,https://ottawa.ca/sites/default/files/images/featured/2001-0399a.jpg,,45.401185,-75.666747,OC Transitway Smyth Station,Station Smyth,River's Invitation,River's Invitation,"Sharpe, Blair",OC Transitway Smyth Station,OC Transitway Smyth Station,Ottawa,ON,20210118,stonhard flooring paint system,revêtement pour plancher stonhard,1991,65
-8425903.837781,5688168.48732564,2001-0400,,"Using principles of perspective and motion, this work located in the pedestrian underpass area, is designed to present a visual directional context for passengers as they enter and exit the station.","Fondée sur les principes de la perspective et du mouvement, cette œuvre, située dans le secteur du passage inférieur pour piétons, est conçue pour présenter un contexte visuel directionnel pour les passagers qui entrent dans la station et ceux qui en sortent.",PA52,https://ottawa.ca/sites/default/files/images/featured/2001-0400.jpg,https://ottawa.ca/sites/default/files/images/featured/2001-0400.jpg,,45.421781,-75.691182,OC Transitway Lycée Claudel Station,Station Lycée Claudel,Accelerator/Decelerator,Accelerator/Decelerator,"Sherman, Tom",OC Transitway Lycée Claudel Station,OC Transitway Lycée Claudel Station,Ottawa,ON,20210118,glazed concrete blocks ,blocs de béton glacés,1990,66
-8425868.10422445,5688179.11362301,2001-0401,K1P 1J1,"Fable VII consists of three components: an interior inscription; a bronze element in the exterior pool; and a lion with an accompanying frame. The artist anticipates the viewer to gravitate towards the interior pool inside the main lobby and find the inscription ""Ex Oriente Lux"" (Out of the East Comes Light) on the glass windows. From this vantage point the exterior pool will come into the viewer's line of vision, followed by the lion and the frame. The work establishes interplay between interior and exterior spaces and creates a dialogue between the architecture of surrounding buildings. While the bronze frame acts as a sundial, the element in the pool animates the area year-long, presenting notions of constant renewal through the use of sunlight and directional alignment. Trevor Gould was born in 1951, Johannesburg, South Africa, and moved to Canada in 1980.

As a complement to Fable VII, local artist Philip Fry created a landscape garden with Hybrid Lowbush Blueberries, local pink Meadowsweet Spirea Tomentosa and granite stones, arranged to suggest the shape of reclining animals.","Fable VII est constituée de trois volets : l’inscription intérieure, un élément de bronze dans le bassin extérieur et le lion dans son cadre. L’artiste s’attend à ce que l’observateur découvre le bassin intérieur dans le hall principal et y trouve l’inscription « Ex Oriente Lux » (La lumière vient de l’est) sur le vitrail. Depuis ce point d’observation, le bassin extérieur entre dans le champ de vision de l’observateur, suivi du lion et du cadre. L’œuvre établit une action réciproque entre les espaces intérieur et extérieur, et crée un dialogue entre l’architecture des édifices avoisinants. Alors que le cadre de bronze tient lieu de cadran solaire, l’élément situé dans le bassin anime en permanence les alentours, présentant des notions de renouveau constant grâce à la lumière solaire et à l’alignement directionnel. Né à Johannesburg, en Afrique du Sud, en 1951, Trevor Gould est venu s’installer au Canada en 1980.

Pour compléter Fable VII, l’artiste local Philip Fry a créé un jardin paysager avec des airelles hybrides à feuilles étroites, des spirées roses locales et des pierres de granit, aménagées pour évoquer la forme d’animaux allongés.",PA53,https://ottawa.ca/sites/default/files/images/featured/fable.jpg,https://ottawa.ca/sites/default/files/images/featured/fable.jpg,,45.421848,-75.690861,110 Laurier Ave W,"110, av Laurier O",Fable VII,Fable VII,"Gould, Trevor","110 Laurier, City Hall commissions","110 Laurier, City Hall commissions",Ottawa,ON,20210118,"cast iron and bronze, sand blasted glass","fonte en fer et bronze, verre dépoli au sable soufllé",1990,67
-8427663.91024993,5663142.22552138,2001-0433,K2C 3H1,"In memory of my father, Peter G. Rogers.","À la mémoire de mon père, Peter G. Rogers.",PA54,,,,45.263767,-75.706993,55 Lodge Rd,"55, ch Lodge",The Birdhouse Garden,The Birdhouse Garden,"Rogers-Bell, Su","55 Lodge Road, Carleton Lodge","55 Lodge Road, Carleton Lodge",Ottawa,ON,20210118,painted wood,bois peint,1993,68
-8425065.04541787,5689831.25975687,2001-0478,K1N 8W4,,,PA55,,,,45.432264,-75.683647,,,Suntent,Suntent,"Marsters, Mark",,,Ottawa,ON,20210118,enamel on aluminum,émail sur aluminium,1993,69
-8406664.15622872,5696674.51180914,2001-0479,,"Mobile and static elements of tubing and mirrors are placed throughout the station. Each becomes a playful and alleviating aspect of the architectural structure, embracing and reflecting light and sky.","Des éléments mobiles et statiques composés de tubes et de miroirs sont placés aux quatre coins de la station. Chacun se veut un jeu sur l’aspect de la structure architecturale, et embrasse et reflète la lumière et le ciel.",PA56,https://ottawa.ca/sites/default/files/images/featured/carnavalesque_-_copy.jpg,https://ottawa.ca/sites/default/files/images/featured/carnavalesque_-_copy.jpg,,45.475387,-75.518349,,,Carnavalesque,Carnavalesque,"Geuer, Juan",,,Ottawa,ON,20210118,mixed media ,technique mixte,1994,70
-8416382.90437243,5683673.74269545,2001-0480,,"Located on the sloping planes underneath the bridge at Walkley Station, historic maps trace significant moments in local history. From early rivers, lakes and forests to the urbanization of the capital, even the expansion of the transit system is presente","Situées sur les plans en pente qui se trouvent sous le pont à la station Walkley, les cartes historiques tracent les moments importants de l’histoire locale. L’époque où le territoire était couvert de rivières, de lacs et de forêts, la période d’urbanisat",PA57,,,,45.393434,-75.605654,OC Transitway Walkley Station,Station Walkley ,A Brief History of Ottawa,A Brief History of Ottawa,"						, ",OC Transitway Walkley Station,OC Transitway Walkley Station,Ottawa,ON,20210118,sand blasted concrete,béton dépoli au sable,1992,71
-8426542.81165815,5680916.20503918,2001-0481,,"This artwork uses surfaces to create unity between the indoor and outdoor areas of the station. Coloured concrete, brick and tile connect walls and walkways. Some tiles and medallions feature laser engravings of plants and animals such as frogs. For Pat Durr, frogs are a potent symbol of life and its complexities. She writes that, “while each frog within its life is completely transformed from one body to another, frogs are an animal which has been on earth virtually unchanged for millennia. Frogs represent change while they themselves are unchanging.” Other sections of the mural are abstract. Colours were chosen from nature: the deep purple-bronze of maple trees is echoed in concrete and brick.","Cette œuvre se sert des surfaces pour unifier l’intérieur et l’extérieur de la station : le béton coloré, la brique et les carreaux relient les murs et les couloirs. Certains carreaux et médaillons présentent des gravures au laser de plantes et d’animaux comme la grenouille. Pour Pat Durr, la grenouille est un symbole puissant de la complexité de la vie : « Même si chaque grenouille, au cours de sa vie, subit une transformation complète qui la fait passer d’un corps à un autre, c’est un animal qui n’a pratiquement pas changé depuis des millénaires. La grenouille représente ainsi le changement alors qu’elle-même ne change pas. » D’autres sections de la murale sont de style abstrait. Les couleurs ont été tirées de la nature : le bronze violacé profond des érables se retrouve dans le béton et la brique.",PA58,https://ottawa.ca/sites/default/files/images/featured/2001-0481c.jpg,https://ottawa.ca/sites/default/files/images/featured/2001-0481c.jpg,,45.376036,-75.696922,OC Transitway Heron Station,Station Heron,Linkages,Linkages,"Durr, Pat",OC Transitway Heron Station,OC Transitway Heron Station,Ottawa,ON,20210118,coloured concrete ,béton coloré,1992,72
-8431925.88827444,5684569.75264214,2001-0548,,"Placed along the walls of the Transitway, these eight sculptures are meant to provide a humorous diversion by greeting and entertaining bus commuters. Each one expresses a different form of communication, including a waving hand, a hitchhiker's thumb, two","Placées le long des murs du Transitway, ces huit sculptures visent à accueillir et divertir les usagers du transport en commun à leur arrivée en faisant une diversion humoristique. Chacune exprime un signe de communication différent, comme un salut de la",PA59,,,,45.399086,-75.745279,OC Transitway Tunneys Pasture - Western Parkway Transitway Stations ,Station Tunneys Pasture,Salut/Salute,Salut/Salute,"Marsters, Mark",OC Transitway Tunneys Pasture - Western Parkway Transitway Stations ,OC Transitway Tunneys Pasture - Western Parkway Transitway Stations ,Ottawa,ON,20210118,vacuum formed ABS plastic ,plastique formé  sous succion à vide,1995,73
-8425868.10422445,5688179.11362301,2001-0549,K1P 1J1,"Made up of concrete towers housing speakers and electronic components, V.I.P. is the City of Ottawa's first computer-based artwork. V.I.P. may generate its own music or emit sound compositions activated by movement on the pathway. Developed by composer and innovator of electronic media Michael Bussière, this interactive installation combines sculptural forms designed and constructed by Mark West with surprising musical arrangements. V.I.P. is an experiment in art that explores the potential of computer music and public performance.","Constituée de tours de béton qui logent des haut-parleurs et des composantes électroniques, V.I.P. est la première œuvre d’art informatique de la Ville d’Ottawa. Activé par les mouvements sur le sentier, l’œuvre génère sa propre musique ou diffuse des compositions sonores. Conçue par Michael Bussière, compositeur et innovateur dans le domaine des médias électroniques, cette installation interactive combine des formes sculpturales imaginées et construites par Mark West et de surprenants arrangements musicaux. Il s’agit d’une expérimentation artistique qui explore le potentiel de la musique informatique et de la représentation publique.",PA60,https://ottawa.ca/sites/default/files/images/featured/vip_video_still.jpg,https://ottawa.ca/sites/default/files/images/featured/vip_video_still.jpg,,45.421848,-75.690861,110 Laurier Ave W,"110, av Laurier O",V.I.P.,V.I.P.,"Bussiere, Michael","110 Laurier, City Hall commissions","110 Laurier, City Hall commissions",Ottawa,ON,20210118,"concrete, computer, speaker, sound system, video camera","béton, ordinateur, haut-parleurs, amplificateur, caméra video",1996,74
-8420166.65386449,5683719.08004122,2001-0551,,"Circuit, a red mosaic, decorates the east platform. It depicts life below the earth’s surface using the colours and textures of rock and magma. The artist imagined that this mosaic would remind us of the electrical and biochemical circuitry in our own bodies.

Hillside, a green mosaic on the west platform, refers to a landscape rich with growth and vegetation. The artist planned each colour and pattern in a way that is meant to rejuvenate and relieve transit users from the station’s subterranean surfaces.","Circuit, une mosaïque rouge, décore le quai est. Elle illustre la vie sous la surface de la Terre à l’aide des couleurs et des textures de la roche et du magma. L’artiste a imaginé que cette mosaïque nous rappellerait les circuits électriques et biochimiques de nos propres corps.

Coteau, une mosaïque verte située sur le quai ouest, représente un paysage à la végétation luxuriante. L’artiste a pensé chaque couleur et chaque motif de façon à régénérer et apaiser les usagers du transport en commun qui se trouvent dans les entrailles souterraines de la station.",PA61,https://ottawa.ca/sites/default/files/images/featured/2001-0551.jpg,https://ottawa.ca/sites/default/files/images/featured/2001-0551.jpg,,45.39372,-75.639644,OC Transitway Pleasant Park Station,Station Pleasant Park,"Ploughed Field : Hillside, Circuit","Ploughed Field : Hillside, Circuit","Feindel, Susan",OC Transitway Pleasant Park Station,OC Transitway Pleasant Park Station,Ottawa,ON,20210118,stained glass and porcelain tile mosaic on concrete wall ,vitrail et mosaïque de porcelaine sur mur de béton,1995,75
-8423292.83912444,5681386.88223364,2001-0552,,"Located along the north and south walls of the South Keys underpass, Standish's mural encourages transit users to touch the tiles and decode eleven Braille symbols. Green and blue evoke the essence of a lush watery landscape and open sky while stainless steel tiles represent a plant or an animal that inhabited the South Keys area when it was marshland. The artist considered Braille to be a sculptural language that can recall a relationship between memory, history and culture.","Située le long des murs nord et sud du passage inférieur South Keys, la murale de Standish encourage les usagers du transport en commun à toucher les tuiles pour décoder 11 symboles en braille. Le vert et le bleu évoquent le ciel et un paysage aquatique luxuriant, alors que les tuiles d'acier inoxydable représentent des plantes ou des animaux qui peuplaient le secteur de South Keys lorsqu'il était un terrain marécageux. L'artiste a considéré le braille comme un langage sculptural, qui évoque la relation entre la mémoire, l'histoire et la culture.",PA62,https://ottawa.ca/sites/default/files/images/featured/south_keys_code_retouched_2.jpg,https://ottawa.ca/sites/default/files/images/featured/south_keys_code_retouched_2.jpg,,45.379006,-75.667727,OC Transitway South Keys Station,Station South Keys,South Keys Code,South Keys Code,"Standish, Ineke",OC Transitway South Keys Station,OC Transitway South Keys Station,Ottawa,ON,20210118,embossed stainless steel mural plates ,gaufrage sur plaques murale en acier inoxidable,1996,76
-8423292.83912444,5681386.88223364,2001-0584,,"Thirty-six colour panels are adapted from advertising, news items and commercial products that affected people living in the Billings Bridge area during the 19th and 20th centuries. The title of the artwork is a play on the word memorabilia, meaning souvenirs of memorable events or periods. The panels are grouped into eras: 12 images refer to 1814, the year the Billings family settled along the Rideau River. Central panels refer to 1867, the year of Confederation. By 1900, the population of Billings Bridge had grown to 200. Panels on the north wall feature these images.

Wheels above each panel reference the trains and streetcars that once moved though parts of Ottawa. Although the panels do not move, the wheels suggest change and motion. ","Il s’agit de 36 panneaux en couleurs adaptés de publicités, de communiqués et de produits commerciaux qu’ont pu voir les habitants de la région de Billings Bridge aux XIXe et XXe siècles. Le titre de l’œuvre est un jeu avec les mots mémoire et mobile. Les panneaux sont regroupés selon les époques : 12 d’entre eux renvoient à 1814, soit l’année où la famille Billings s’est établie sur les bords du canal Rideau, tandis que les panneaux du centre réfèrent à 1867, l’année de la Confédération, et que ceux du mur nord évoquent l’année 1900, quand la population de Billings Bridge a atteint 200 personnes.

Les roues au-dessus de chacun évoquent le train et les tramways qui sillonnaient jadis les quartiers d’Ottawa. Les panneaux eux-mêmes sont fixes, mais les roues suggèrent changement et mouvement.",PA63,https://ottawa.ca/sites/default/files/images/featured/mem-o-bilia.jpg,https://ottawa.ca/sites/default/files/images/featured/mem-o-bilia.jpg,,45.379006,-75.667727,OC Transitway Billings Bridge Station,Station Billings Bridge,mem-o-mobilia,mem-o-mobilia,"Marsters, Mark",OC Transitway Billings Bridge Station,OC Transitway Billings Bridge Station,Ottawa,ON,20210118,enamel on aluminum,émail sur aluminium,1991,77
-8425334.99518304,5688302.6650808,2004-0002,,"Justin Wonnacott was commissioned to create artwork for Waller Street. He chose ""shelter, its loss and replacement"" as a theme for his work. Compass Rose combines images of Ottawa from space, a sextant and the word “domicile”.","La Ville a demandé à Justin Wonnacott de créer des œuvres pour la rue Waller. Le thème qu’il a choisi est celui de « l’abri, sa perte et son remplacement ». Compass Rose combine des images d’Ottawa vues de l’espace au sextant et au mot « domicile ».",PA64,https://ottawa.ca/sites/default/files/images/featured/2004-0002.jpg,https://ottawa.ca/sites/default/files/images/featured/2004-0002.jpg,,45.422627,-75.686072,Waller Street Mall,rue Waller,... compass rose ...,... compass rose ...,"Wonnacott, Justin",Waller Street Mall (between Rideau and George),Waller Street Mall (between Rideau and George),Ottawa,ON,20210118,granite ,granite,2003,78
-8428515.94963246,5686011.92713452,2004-0003,K1Y 2X6,"Skipping Stones reflects a peaceful underwater world filled with swimming loons, fish and beaver. Human forms represent the families, children and diverse groups in the community surrounding the Plant Recreation Centre. The artist writes that “My sculpture seeks to harmonize nature’s creations with the products of human industry, revealing something new and beautiful in both. The industrial material in each piece is equally as important as the natural subject it portrays. These works are partially constructed from scrap material recovered from the original Plant Bath.” ","Ricochets reflète un monde sous-marin paisible grâce à quatorze silhouettes d’animaux nageurs – huards, poissons et castors. La construction d’une hutte de castor suggère le sentiment du chez-soi et de l’abri. Les silhouettes humaines floues représentent les familles, les enfants et les divers groupes de la collectivité voisins du Centre récréatif Plant.

« Ma sculpture cherche à établir une harmonie entre les créations de la nature et les produits de l’industrie humaine, révélant de la sorte quelque chose de nouveau et de beau chez les deux. Les matériaux industriels de chaque pièce sont tout aussi importants que le sujet naturel représenté. Ces œuvres sont partiellement confectionnées avec des matériaux de récupération de la première piscine Plant. » – M. Lasserre",PA65,https://ottawa.ca/sites/default/files/images/featured/2004-0003_skipping_stones.jpg,https://ottawa.ca/sites/default/files/images/featured/2004-0003_skipping_stones.jpg,,45.408182,-75.714647,930 Somerset St W,"930, rue Somerset O",Skipping Stones,Skipping Stones,"Lasserre, Maskull","930 Somerset Street W, Plant Recreation Centre","930 Somerset Street W, Plant Recreation Centre",Ottawa,ON,20210118,"bronze, copper, steel, patina, Plexiglas, paint","bronze, cuivre, acier, patine, Plexiglas, peinture",2003,79
-8425903.837781,5688168.48732564,2004-0004,,"Kenneth Emig, a local visual and performance artist, created three framed artworks located in the rotunda. The artwork generates the illusion of expanding the architectural space through multiple reflections. The artist hopes to stimulate your curiosity, encouraging you to look at the world in new ways, with new awareness. This commissioned artwork incorporates the architect's vision for the building, recognizing the area's rural and 'high tech' communities in the design and choice of materials. Emig's visual art investigations of optical, acoustic and motion concepts are inspired by his performance art and his work in 'high tech' research and development.","Kenneth Emig, artiste visuel et multiartiste local, a réalisé les trois oeuvres encadrées constituées de lampes et de miroirs qui sont situées dans la rotonde. Par le jeu des multiples reflets, l'ensemble donne l'impression d'élargir l'espace architectural. L'artiste espère susciter la curiosité et vous faire voir le monde avec une sensibilité et un regard neufs. Cette œuvre de commande intègre la vision de l'architecte, qui a tenu compte de la présence de collectivités rurales et d'entreprises de haute technologie dans la région au moment de concevoir l'immeuble et de choisir les matériaux qui le composent. Kenneth Emig approfondit les notions d'optique, d'acoustique et de mouvement que lui inspirent son expérience comme multiartiste et ses travaux de recherche-développement en haute technologie. ",PA66,https://ottawa.ca/sites/default/files/images/featured/2004-0004.jpg,https://ottawa.ca/sites/default/files/images/featured/2004-0004.jpg,,45.421781,-75.691182,65 Stonehaven Dr,"65, prom Stonehaven",The Second Storey,The Second Storey,"Emig, Kenneth","65 Stonehaven Drive, Eva James Memorial Community Centre","65 Stonehaven Drive, Eva James Memorial Community Centre",Ottawa,ON,20210118,"wood, mirror, fluorescent light","bois, miroir, lampe fluorescente",2004,80
-8425871.77776765,5685043.31709951,2004-0005,K1S 2K2,"In Scotton Hall, a painted mural with quilted textile hangings creates the illusion of a window into the local neighbourhood, where a large tree shelters the homes through the seasons of the year. In the Lower Hall, the tree roots extend into a whimsical painted and ceramic view of the neighbourhood underground. The connecting piece between these two installations is in the Lobby stairwell where a collection of papier mâché dolls symbolizes the people of the neighbourhood. These interwoven community images reflect the way in which the Centre strengthens family and community bonds. Glebe artists Marie-Christine Féraud, Carolynne Pynn-Trudeau and Mary Pal share the success of the Glebe Community Centre’s public art project with local residents. Children and adults from the Glebe created and donated elements for the three installations in artist-run workshops.","Une murale peinte assortie de rideaux de tissu piqué enjolive la salle Scotton. Cette œuvre crée l’illusion d’une fenêtre donnant sur le voisinage, où l’on aperçoit un gros arbre qui protège les maisons au cours des quatre saisons de l’année. Dans la salle du bas, les racines de l’arbre s’étendent en une vision saugrenue du voisinage sous terre, réalisée au moyen de la peinture et de la céramique. La pièce reliant ces deux installations se trouve dans l’escalier principal où une collection de poupées en papier mâché représente les habitants du voisinage. Ces images entrelacées de la communauté expriment bien comment le Centre consolide les liens de la famille et de la communauté.

Les artistes du Glebe, Marie-Christine Féraud, Carolynne Pynn-Trudeau et Mary Pal, partagent, avec les habitants du quartier, le succès du projet d’art public du Centre communautaire du Glebe. Dans le cadre d’ateliers d’art animés par les artistes, les enfants et les adultes du Glebe ont créé et offert divers éléments pour les trois installations.",PA67,https://ottawa.ca/sites/default/files/images/featured/2004-0005.jpg,https://ottawa.ca/sites/default/files/images/featured/2004-0005.jpg,,45.402073,-75.690894,175 3rd Ave,"175, av 3rd",Neighbourhood Perspectives,Neighbourhood Perspectives,"Feraud, Pynn-Trudeau & Pal, Marie-Christine, Carolynne & Mary","175 3rd Avenue, Glebe Community Centre","175 3rd Avenue, Glebe Community Centre",Ottawa,ON,20210118,"acrylic, ceramic, cotton, found objects, paper","acrylique, ceramique, coton, object trouvés, papier",2004,81
-8427980.05760378,5662721.37346151,2005-0002,K1N 5M2,"Wanderer is composed of multiple glass panels in the facility’s Multi-Faith Worship Centre. The piece celebrates the journey of bird migration, as each year billions of birds navigate from one geographic area to another. This pilgrimage is guided by an internal magnetic compass and by the mountains and rivers of our planet. The imagery in each unique cast glass panel combines flight with references to food sources and habitats.","Vagabond est composé de panneaux de verre au centre de recueillement multiconfessionnel du foyer. L’œuvre célèbre la migration des oiseaux, alors que tous les ans, des milliards d’oiseaux se déplacent d’une région géographique à une autre. Ils sont guidés dans leur pèlerinage par un compas magnétique interne et par les montagnes et les rivières de la terre. La représentation de chacun des panneaux de verre coulé associe la migration aux sources de nourriture et à l’habitat.",PA68,https://ottawa.ca/sites/default/files/images/featured/2005-0002.jpg,https://ottawa.ca/sites/default/files/images/featured/2005-0002.jpg,,45.261106,-75.709833,,,Wanderer,Wanderer,"Cronin, Lynda",,,Ottawa,ON,20210118,wood and glass,bois et verre,2005,82
-8427980.05760378,5662721.37346151,2005-0003,K1N 5M2,"For every residential floor, Tim desClouds has created a unique and whimsical flying vessel. As interpretations of magical quality of the human existence, these vessels enlighten us to our own daily journeys and to the environments we find along the way.","Pour chacun des étages de la résidence, Tim desClouds a créé un navire volant unique et imaginaire. Afin de recréer la magie de la vie, ces navires nous emmènent dans notre quotidien et nous divertissent le long du parcours. Pour agrémenter le foyer de soins de longue durée, M. desClouds a réalisé des indications figuratives à l’image des navires, sur le plancher, à l’extérieur de chaque bureau de l’établissement.",PA69,https://ottawa.ca/sites/default/files/images/featured/2005-0003.jpg,https://ottawa.ca/sites/default/files/images/featured/2005-0003.jpg,,45.261106,-75.709833,200 Island Lodge Rd,"200, ch Island Lodge",Histories: Whimisical Voyages,Histories: Whimisical Voyages,"desClouds, Tim","200 Island Lodge Road, Garry J. Armstrong Long Term Care Facility","200 Island Lodge Road, Garry J. Armstrong Long Term Care Facility",Ottawa,ON,20210118,"wood construction, mixed media, found objects and photographs",constructions en bois alliant des objets trouvés et des photographies et réalisées au moyen de techniques mixtes,2005,83
-8427980.05760378,5662721.37346151,2005-0004,K1N 5M2,"Each unique bird, installed on a balcony, adds a full dose of humour to the pleasurable activity of bird watching. The simple joy of these 18 birds, “all dressed up” in familiar garments and accessories, is their ability to awaken the imaginations of residents, staff and guests with humour, connecting people of all ages through storytelling and conversation.","Chaque oiseau unique, installé à un balcon, ajoute une bonne dose d’humour à cette activité très plaisante qu’est l’observation des oiseaux. Ces 18 oiseaux, vêtus d’habits et d’accessoires de tous les jours, éveillent l’imagination des résidents, de leurs invités et du personnel par leur caractère drôle, réunissant les gens de tous âges en inspirant des contes et des conversations.",PA70,https://ottawa.ca/sites/default/files/images/featured/2005-0004.15_.jpg,https://ottawa.ca/sites/default/files/images/featured/2005-0004.15_.jpg,,45.261106,-75.709833,200 Island Lodge Rd,"200, ch Island Lodge",Flock of Fancies,Flock of Fancies,"fleury, c j","200 Island Lodge Road, Garry J. Armstrong Long Term Care Facility","200 Island Lodge Road, Garry J. Armstrong Long Term Care Facility",Ottawa,ON,20210118,bronze,,2005,84
-8427980.05760378,5662721.37346151,2005-0005,K1N 5M2,"The artist team of Dana Wardrop and Peter Langlois, WardropLanglois, terms the experience of migrating birds taking off at the Central Experimental Farm as a “truly Ottawa, truly Canadian experience.” The warm colours in the mural connect the inside to the natural landscape outside, surrounding the residents of the home with familiarity and warmth.","Migration, Ferme expérimentale centrale, Ottawa, transcende la culture, l’âge et la religion en représentant nos scènes préférées de la région d’Ottawa. Les artistes, WardropLanglois (Dana Wardrop et Peter Langlois), décrivent l’expérience des oiseaux migrateurs qui s’envolent à la Ferme expérimentale centrale comme étant « typique d’Ottawa et vraiment canadienne ». Les couleurs chaudes de la murale lient l’intérieur au paysage naturel extérieur, faisant du foyer un endroit chaleureux et familier pour ses résidents.",PA71,https://ottawa.ca/sites/default/files/images/featured/2005-0005.jpg,https://ottawa.ca/sites/default/files/images/featured/2005-0005.jpg,,45.261106,-75.709833,200 Island Lodge Rd,"200, ch Island Lodge","Migration, Central Experimental Farm, Ottawa","Migration, Central Experimental Farm, Ottawa","Wardrop, Dana","200 Island Lodge Road, Garry J. Armstrong Long Term Care Facility","200 Island Lodge Road, Garry J. Armstrong Long Term Care Facility",Ottawa,ON,20210118,"acrylic, plaster, oil","acrylique, plaître et huile",2005,85
-8419611.39224441,5678993.65826059,2006-0005,K1T 3P8,"Shelf: 759-760 is an abstract composition in which the colour, texture and position of the glass is dictated by the type of binding found on the first book on each row of the fine arts shelf at the Greenboro Branch. The resulting grid becomes a screen through which the daily rhythms and ordered calmness of the library can be viewed and enjoyed.","L’étagère : 759-760 est une composition abstraite dans laquelle la couleur, la texture et la position des morceaux de verre sont dictées par la reliure du premier livre sur chaque tablette de l'étagère portant les livres d'art à la succursale Greenboro. Le résultat est une grille à travers laquelle on peut voir et apprécier le rythme quotidien et le calme ordonné de la bibliothèque.",PA72,https://ottawa.ca/sites/default/files/images/featured/shelf_retouched.jpg,https://ottawa.ca/sites/default/files/images/featured/shelf_retouched.jpg,,45.363903,-75.634656,363 Lorry Greenberg Dr,"363, prom Lorry Greenberg",SHELF: 759 - 760,SHELF: 759 - 760,"Göllner, Adrian","363 Lorry Greenberg Drive, Ottawa Public Library, Greenboro Branch","363 Lorry Greenberg Drive, Ottawa Public Library, Greenboro Branch",Ottawa,ON,20210118,aluminium and stained glass,aluminium et vitrail ,2004,86
